Test Method,MTS Tensile with Extensometer_edited.msm,,,,
Sample I. D.,GroupB_unknown metal,,,,
Specimen Number,2,,,Trial 1,
,,,,,
Load (N),Time (s),Extension (mm),Stress (MPa),Strain (mm/mm),Crosshead (mm)
,,,,,
2800.174,417.7,8.521,238.0189553,0.167505406,
2799.476,418.5,8.542,237.9596243,0.167918223,
2800.161,419.3,8.564,238.0178503,0.168350698,
2800.369,420.1,8.587,238.0355306,0.168802831,
2800.208,420.9,8.608,238.0218454,0.169215648,
2801.699,421.7,8.63,238.1485826,0.169648123,
2800.735,422.5,8.651,238.0666412,0.17006094,
2801.776,423.3,8.673,238.1551277,0.170493415,
2802.025,424.1,8.695,238.1762931,0.17092589,
2801.724,424.9,8.718,238.1507076,0.171378022,
2803.747,425.7,8.739,238.3226656,0.171790839,
2802.898,426.5,8.761,238.2504994,0.172223314,
2803.424,427.3,8.783,238.2952102,0.172655789,
2804.002,428.1,8.806,238.344341,0.173107922,
2803.469,428.9,8.828,238.2990352,0.173540397,
2805.147,429.7,8.85,238.4416677,0.173972872,
2804.316,430.5,8.872,238.3710315,0.174405347,
2804.799,431.3,8.894,238.4120872,0.174837822,
2805.927,432.1,8.916,238.5079689,0.175270297,
2805.542,432.9,8.939,238.4752433,0.17572243,
2806.427,433.7,8.961,238.5504696,0.176154905,
2806.299,434.5,8.984,238.5395894,0.176607038,
2805.907,435.3,9.006,238.5062689,0.177039512,
2807.088,436.1,9.028,238.6066556,0.177471987,
2806.7,436.9,9.051,238.573675,0.17792412,
2807.108,437.7,9.073,238.6083556,0.178356595,
2807.928,438.5,9.096,238.6780569,0.178808728,
2807.609,439.3,9.118,238.6509414,0.179241203,
2808.54,440.1,9.14,238.7300778,0.179673678,
2808.261,440.9,9.162,238.7063624,0.180106153,
2808.496,441.7,9.185,238.7263377,0.180558286,
2809.682,442.5,9.208,238.8271495,0.181010419,
2808.684,443.3,9.23,238.742318,0.181442894,
2809.262,444.1,9.253,238.7914489,0.181895027,
2809.605,444.9,9.276,238.8206044,0.182347159,
2809.567,445.7,9.298,238.8173743,0.182779634,
2811.316,446.5,9.322,238.9660419,0.183251425,
2809.744,447.3,9.344,238.8324196,0.1836839,
2810.607,448.1,9.367,238.9057759,0.184136033,
2810.971,448.9,9.39,238.9367164,0.184588166,
2810.522,449.7,9.412,238.8985507,0.185020641,
2812.259,450.5,9.435,239.0461983,0.185472774,
2810.867,451.3,9.458,238.9278762,0.185924907,
2811.589,452.1,9.48,238.9892473,0.186357382,
2812.138,452.9,9.504,239.0359131,0.186829172,
2811.509,453.7,9.526,238.9824472,0.187261647,
2813.31,454.5,9.549,239.1355349,0.18771378,
2812.341,455.3,9.572,239.0531684,0.188165913,
2812.491,456.1,9.594,239.0659187,0.188598388,
2813.01,456.9,9.618,239.1100344,0.189070179,
2812.28,457.7,9.641,239.0479833,0.189522312,
2814.009,458.5,9.664,239.1949509,0.189974445,
2812.828,459.3,9.687,239.0945642,0.190426578,
2813.448,460.1,9.71,239.1472651,0.19087871,
2813.847,460.9,9.734,239.1811807,0.191350501,
2813.115,461.7,9.758,239.1189596,0.191822292,
2814.999,462.5,9.781,239.2791024,0.192274425,
2813.663,463.3,9.804,239.1655404,0.192726558,
2813.949,464.1,9.826,239.1898508,0.193159033,
2814.778,464.9,9.85,239.2603171,0.193630824,
2813.958,465.7,9.874,239.1906158,0.194102615,
2815.383,466.5,9.897,239.311743,0.194554747,
2814.205,467.3,9.921,239.2116112,0.195026538,
2814.028,468.1,9.944,239.1965659,0.195478671,
2815.324,468.9,9.968,239.3067279,0.195950462,
2814.383,469.7,9.991,239.2267415,0.196402595,
2815.498,470.5,10.015,239.3215181,0.196874386,
2814.987,471.3,10.038,239.2780824,0.197326519,
2814.517,472.1,10.062,239.2381317,0.197798309,
2816.089,472.9,10.085,239.371754,0.198250442,
2814.775,473.7,10.109,239.2600621,0.198722233,
2815.757,474.5,10.133,239.3435335,0.199194024,
2815.134,475.3,10.157,239.2905776,0.199665815,
2814.998,476.1,10.181,239.2790174,0.200137606,
2816.147,476.9,10.204,239.3766841,0.200589739,
2814.683,477.7,10.228,239.2522419,0.201061529,
2815.221,478.5,10.252,239.2979727,0.20153332,
2815.46,479.3,10.275,239.3182881,0.201985453,
2814.587,480.1,10.3,239.2440818,0.202476902,
2816.139,480.9,10.324,239.3760041,0.202948693,
2814.479,481.7,10.348,239.2349016,0.203420484,
2815.407,482.5,10.371,239.313783,0.203872616,
2814.831,483.3,10.395,239.2648221,0.204344407,
2814.039,484.1,10.419,239.197501,0.204816198,
2815.395,484.9,10.444,239.312763,0.205307647,
2813.869,485.7,10.468,239.1830507,0.205779438,
2814.4,486.5,10.492,239.2281865,0.206251229,
2814.061,487.3,10.517,239.199371,0.206742677,
2813.051,488.1,10.541,239.1135195,0.207214468,
2813.464,488.9,10.565,239.1486251,0.207686259,
2812.734,489.7,10.589,239.086574,0.20815805,
2812.833,490.5,10.614,239.0949892,0.208649499,
2812.807,491.3,10.638,239.0927791,0.20912129,
2811.263,492.1,10.663,238.9615368,0.209612738,
2811.731,492.9,10.688,239.0013175,0.210104187,
2810.219,493.7,10.712,238.8727953,0.210575978,
2810.073,494.5,10.737,238.8603851,0.211067427,
2810.434,495.3,10.762,238.8910706,0.211558876,
2808.515,496.1,10.787,238.7279527,0.212050324,
2808.359,496.9,10.812,238.7146925,0.212541773,
2807.293,497.7,10.837,238.6240809,0.213033222,
2805.67,498.5,10.863,238.4861235,0.213544329,
2806.246,499.3,10.888,238.5350844,0.214035777,
2803.872,500.1,10.913,238.3332908,0.214527226,
2803.167,500.9,10.937,238.2733648,0.214999017,
2801.242,501.7,10.963,238.1097369,0.215510124,
2799.093,502.5,10.988,237.9270687,0.216001573,
2799.301,503.3,11.014,237.944749,0.216512679,
2796.06,504.1,11.039,237.6692592,0.217004128,
2793.459,504.9,11.064,237.4481703,0.217495577,
2791.268,505.7,11.09,237.2619321,0.218006684,
2786.596,506.5,11.116,236.8648051,0.21851779,
2784.427,507.3,11.141,236.6804369,0.219009239,
2778.309,508.1,11.168,236.1603978,0.219540004,
2771.25,508.9,11.195,235.5603723,0.220070769,
2764.336,509.7,11.221,234.972672,0.220581875,
2750.767,510.5,11.248,233.8192868,0.22111264,
2736.003,511.3,11.276,232.5643249,0.221663063,
2716.436,512.1,11.303,230.9011008,0.222193827,
2688.438,512.9,11.331,228.5212291,0.22274425,
2654.994,513.7,11.361,225.6784394,0.223333989,
2609.368,514.5,11.392,221.8001615,0.223943385,
2546.231,515.3,11.426,216.4334226,0.224611755,
2464.205,516.1,11.461,209.4610906,0.225299784,
2323.21,516.9,11.503,197.4763058,0.226125418,
-210.166,517.02,11.992,-17.86442263,0.235738156,
