Test Method,MTS Simplified Tensile Edited.msm,,,
Sample I. D.,GroupB_polycarbonate.mss,,,
Specimen Number,5,,Trial 1,
,,,,
Load (N),Time (min),Extension (mm),Stress (MPa),Strain (mm/mm)
,,,,
2182.611,0.353,4.756,,
2186.793,0.355,4.78,,
2190.7,0.357,4.803,,
2194.389,0.358,4.826,,
2198.233,0.36,4.85,,
2201.84,0.362,4.873,,
2205.696,0.363,4.896,,
2209.01,0.365,4.919,,
2212.806,0.367,4.943,,
2216.264,0.368,4.966,,
2219.476,0.37,4.989,,
2223.032,0.372,5.013,,
2226.227,0.373,5.036,,
2229.574,0.375,5.06,,
2232.838,0.377,5.083,,
2235.731,0.378,5.106,,
2238.912,0.38,5.129,,
2241.62,0.382,5.152,,
2244.793,0.383,5.176,,
2247.682,0.385,5.199,,
2250.374,0.387,5.223,,
2253.376,0.388,5.246,,
2255.834,0.39,5.269,,
2258.678,0.392,5.293,,
2261.147,0.393,5.316,,
2263.577,0.395,5.34,,
2266.106,0.397,5.363,,
2268.095,0.398,5.386,,
2270.53,0.4,5.41,,
2272.399,0.402,5.433,,
2274.341,0.403,5.456,,
2276.53,0.405,5.48,,
2278.068,0.407,5.503,,
2279.912,0.408,5.526,,
2281.097,0.41,5.549,,
2282.56,0.412,5.573,,
2283.949,0.413,5.596,,
2284.611,0.415,5.619,,
2285.484,0.417,5.643,,
2285.756,0.418,5.666,,
2285.829,0.42,5.689,,
2285.637,0.422,5.713,,
2284.358,0.423,5.736,,
2282.771,0.425,5.759,,
2279.753,0.427,5.782,,
2275.523,0.428,5.806,,
2269.361,0.43,5.829,,
2260.115,0.432,5.853,,
2247.073,0.433,5.876,,
2226.525,0.435,5.899,,
2191.923,0.437,5.923,,
2103.583,0.438,5.946,,
2019.437,0.44,5.969,,
1978.629,0.442,5.993,,
1955.615,0.443,6.016,,
1941.959,0.445,6.04,,
1932.808,0.447,6.063,,
1926.342,0.448,6.086,,
1922.001,0.45,6.11,,
1918.132,0.452,6.133,,
1915.99,0.453,6.157,,
1914.023,0.455,6.179,,
1912.821,0.457,6.203,,
1911.736,0.458,6.226,,
1910.504,0.46,6.249,,
1910.058,0.462,6.273,,
1909.136,0.463,6.296,,
1908.852,0.465,6.32,,
1908.516,0.467,6.343,,
1907.699,0.468,6.366,,
1907.152,0.47,6.39,,
1906.136,0.472,6.413,,
1905.278,0.473,6.436,,
1904.389,0.475,6.46,,
1902.811,0.477,6.483,,
1901.974,0.478,6.506,,
1900.438,0.48,6.529,,
1898.912,0.482,6.553,,
1897.485,0.483,6.576,,
1895.415,0.485,6.599,,
1893.651,0.487,6.623,,
1891.518,0.488,6.646,,
1889.233,0.49,6.67,,
1887.04,0.492,6.693,,
1884.318,0.493,6.716,,
1882.129,0.495,6.74,,
1879.113,0.497,6.763,,
1876.307,0.498,6.786,,
1873.667,0.5,6.81,,
1870.545,0.502,6.833,,
1867.785,0.503,6.856,,
1864.765,0.505,6.879,,
1861.998,0.507,6.903,,
1859.093,0.508,6.927,,
1855.865,0.51,6.95,,
1853.189,0.512,6.974,,
1849.872,0.513,6.996,,
1846.97,0.515,7.02,,
1844.509,0.517,7.043,,
1841.645,0.518,7.066,,
1839.283,0.52,7.09,,
1836.429,0.522,7.113,,
1834.344,0.523,7.137,,
1832.074,0.525,7.16,,
1829.857,0.527,7.183,,
1828.381,0.528,7.207,,
1826.106,0.53,7.23,,
1824.257,0.532,7.253,,
1822.562,0.533,7.276,,
1820.825,0.535,7.3,,
1819.53,0.537,7.323,,
1818.047,0.538,7.346,,
1817.301,0.54,7.37,,
1815.926,0.542,7.393,,
1814.955,0.543,7.416,,
1814.376,0.545,7.44,,
1813.391,0.547,7.463,,
1812.908,0.548,7.487,,
1812.084,0.55,7.509,,
1811.533,0.552,7.533,,
1811.17,0.553,7.556,,
1810.487,0.555,7.58,,
1810.679,0.557,7.603,,
1810.016,0.558,7.626,,
1810.11,0.56,7.65,,
1809.884,0.562,7.673,,
1809.764,0.563,7.696,,
1810.031,0.565,7.72,,
1809.555,0.567,7.743,,
1809.85,0.568,7.767,,
1809.815,0.57,7.79,,
1809.833,0.572,7.813,,
1810.114,0.573,7.837,,
1809.837,0.575,7.86,,
1810.109,0.577,7.883,,
1810.157,0.578,7.906,,
1810.187,0.58,7.93,,
1810.643,0.582,7.953,,
1810.416,0.583,7.976,,
1810.915,0.585,8,,
1810.834,0.587,8.023,,
1810.961,0.588,8.046,,
1811.351,0.59,8.07,,
1811.133,0.592,8.093,,
1811.53,0.593,8.117,,
1811.228,0.595,8.139,,
1811.466,0.597,8.163,,
1811.889,0.598,8.186,,
1811.767,0.6,8.21,,
1812.404,0.602,8.233,,
1812.554,0.603,8.256,,
1812.708,0.605,8.28,,
1812.965,0.607,8.303,,
1813.028,0.608,8.326,,
1813.614,0.61,8.35,,
1813.758,0.612,8.373,,
1814.27,0.613,8.396,,
1814.574,0.615,8.42,,
1814.711,0.617,8.443,,
1815.555,0.618,8.467,,
1815.733,0.62,8.49,,
1816.083,0.622,8.513,,
1816.566,0.623,8.536,,
1816.75,0.625,8.56,,
1817.399,0.627,8.583,,
1817.682,0.628,8.606,,
1818.187,0.63,8.63,,
1818.351,0.632,8.653,,
1818.649,0.633,8.676,,
1819.194,0.635,8.7,,
1819.312,0.637,8.723,,
1819.908,0.638,8.747,,
1820.507,0.64,8.77,,
1820.434,0.642,8.793,,
1821.084,0.643,8.817,,
1821.163,0.645,8.839,,
1821.511,0.647,8.863,,
1821.556,0.648,8.886,,
1821.86,0.65,8.909,,
1822.457,0.652,8.933,,
1822.27,0.653,8.956,,
1822.609,0.655,8.98,,
1822.951,0.657,9.003,,
1823.01,0.658,9.026,,
1823.349,0.66,9.05,,
1823.39,0.662,9.073,,
1823.893,0.663,9.097,,
1824.026,0.665,9.12,,
1823.999,0.667,9.143,,
1824.302,0.668,9.167,,
1823.944,0.67,9.189,,
1824.324,0.672,9.213,,
1824.319,0.673,9.236,,
1824.481,0.675,9.26,,
1824.91,0.677,9.283,,
1824.868,0.678,9.306,,
1825.297,0.68,9.33,,
1825.253,0.682,9.353,,
1825.254,0.683,9.377,,
1825.528,0.685,9.4,,
1825.271,0.687,9.423,,
1825.585,0.688,9.447,,
1825.402,0.69,9.469,,
1825.545,0.692,9.493,,
1825.613,0.693,9.516,,
1825.646,0.695,9.539,,
1826.021,0.697,9.563,,
1825.705,0.698,9.586,,
1825.968,0.7,9.61,,
1825.926,0.702,9.633,,
1825.887,0.703,9.656,,
1825.91,0.705,9.68,,
